Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
28.405	16:58:15.640	43.462229950	1.272889989	0.242105	125	0.246094
28.655	16:58:15.890	43.462229950	1.272889989	0.242105	125	0.246094
28.905	16:58:16.140	43.462229950	1.272889989	0.242105	125	0.25
29.155	16:58:16.390	43.462229950	1.272889989	0.242105	125	0.246094
29.405	16:58:16.640	43.462229950	1.272889989	0.242105	125	0.246094
29.655	16:58:16.890	43.462229950	1.272889989	0.242105	125	0.246094
29.905	16:58:17.140	43.462229950	1.272889989	0.242105	125	0.246094
30.155	16:58:17.390	43.462229950	1.272889989	0.242105	125	0.25
30.405	16:58:17.640	43.462229950	1.272889989	0.242105	125	0.246094
30.655	16:58:17.890	43.462229950	1.272889989	0.242105	125	0.246094
30.905	16:58:18.140	43.462229950	1.272889989	0.242105	125	0.246094
31.155	16:58:18.390	43.462229950	1.272889989	0.242105	125	0.246094
31.405	16:58:18.640	43.462229950	1.272889989	0.242105	125	0.246094
31.655	16:58:18.890	43.462229950	1.272889989	0.242105	125	0.25
31.905	16:58:19.140	43.462229950	1.272889989	0.242105	125	0.246094
32.155	16:58:19.390	43.462229950	1.272889989	0.242105	125	0.246094
32.405	16:58:19.640	43.462229950	1.272889989	0.242105	125	0.246094
32.655	16:58:19.890	43.462229950	1.272889989	0.242105	125	0.25
32.905	16:58:20.140	43.462229950	1.272889989	0.242105	125	0.246094
33.155	16:58:20.390	43.462229950	1.272889989	0.242105	125	0.246094
33.405	16:58:20.640	43.462229950	1.272889989	0.242105	125	0.246094
33.655	16:58:20.890	43.462229950	1.272889989	0.242105	125	0.25
33.905	16:58:21.140	43.462229950	1.272889989	0.242105	125	0.246094
34.155	16:58:21.390	43.462229950	1.272889989	0.242105	125	0.246094
34.405	16:58:21.640	43.462229950	1.272889989	0.522055	125	0.246094
34.655	16:58:21.890	43.462229950	1.272889989	0.28556	125	0.246094
34.905	16:58:22.140	43.462229950	1.272889989	0.282672	125	0.246094
35.155	16:58:22.390	43.462229950	1.272889989	0.28316	125	0.246094
35.405	16:58:22.640	43.462229950	1.272889989	0.283886	125	0.25
35.655	16:58:22.890	43.462229950	1.272889989	0.289506	125	0.246094
35.905	16:58:23.140	43.462229950	1.272889989	0.285498	125	0.246094
36.155	16:58:23.390	43.462229950	1.272889989	0.285946	125	0.25
36.405	16:58:23.640	43.462229950	1.272889989	0.288568	125	0.246094
36.655	16:58:23.890	43.462229950	1.272889989	0.28762	125	0.246094
