Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
11.248	10:19:1.283	43.462229950	1.272889989	0.35	126	0.242188
11.498	10:19:1.533	43.462229950	1.272889989	0.35	126	0.242188
11.748	10:19:1.783	43.462229950	1.272889989	0.35	126	0.242188
11.998	10:19:2.033	43.462229950	1.272889989	0.35	126	0.242188
12.248	10:19:2.283	43.462229950	1.272889989	0.35	126	0.242188
12.498	10:19:2.533	43.462229950	1.272889989	0.35	126	0.242188
12.748	10:19:2.783	43.462229950	1.272889989	0.35	126	0.242188
12.998	10:19:3.033	43.462229950	1.272889989	0.35	126	0.242188
13.248	10:19:3.283	43.462229950	1.272889989	0.35	126	0.242188
13.498	10:19:3.533	43.462229950	1.272889989	0.35	126	0.242188
13.748	10:19:3.783	43.462229950	1.272889989	0.35	126	0.242188
13.998	10:19:4.033	43.462229950	1.272889989	0.35	126	0.242188
14.248	10:19:4.283	43.462229950	1.272889989	0.35	126	0.242188
14.498	10:19:4.533	43.462229950	1.272889989	0.35	126	0.242188
14.748	10:19:4.783	43.462229950	1.272889989	0.35	126	0.242188
14.998	10:19:5.033	43.462229950	1.272889989	0.35	126	0.242188
15.248	10:19:5.283	43.462229950	1.272889989	0.35	126	0.242188
15.498	10:19:5.533	43.462229950	1.272889989	0.35	126	0.242188
15.748	10:19:5.783	43.462229950	1.272889989	0.35	126	0.242188
15.998	10:19:6.033	43.462229950	1.272889989	0.35	126	0.242188
16.248	10:19:6.283	43.462229950	1.272889989	0.35	126	0.242188
16.498	10:19:6.533	43.462229950	1.272889989	0.35	126	0.242188
16.748	10:19:6.783	43.462229950	1.272889989	0.35	126	0.242188
16.998	10:19:7.033	43.462229950	1.272889989	0.35	126	0.242188
17.248	10:19:7.283	43.462229950	1.272889989	0.35	126	0.242188
17.498	10:19:7.533	43.462229950	1.272889989	0.35	126	0.242188
17.748	10:19:7.783	43.462229950	1.272889989	0.35	126	0.242188
17.998	10:19:8.033	43.462229950	1.272889989	0.35	126	0.242188
18.248	10:19:8.283	43.462229950	1.272889989	0.35	126	0.242188
18.498	10:19:8.533	43.462229950	1.272889989	0.35	126	0.242188
18.748	10:19:8.783	43.462229950	1.272889989	0.35	126	0.242188
18.998	10:19:9.033	43.462229950	1.272889989	0.35	126	0.242188
19.248	10:19:9.283	43.462229950	1.272889989	0.35	126	0.242188
19.498	10:19:9.533	43.462229950	1.272889989	0.35	126	0.242188
19.748	10:19:9.783	43.462229950	1.272889989	0.35	126	0.242188
19.998	10:19:10.033	43.462229950	1.272889989	0.35	126	0.242188
20.248	10:19:10.283	43.462229950	1.272889989	0.35	126	0.242188
20.498	10:19:10.533	43.462229950	1.272889989	0.35	126	0.242188
20.748	10:19:10.783	43.462229950	1.272889989	0.35	126	0.242188
20.998	10:19:11.033	43.462229950	1.272889989	0.35	126	0.242188
21.248	10:19:11.283	43.462229950	1.272889989	0.35	126	0.242188
21.498	10:19:11.533	43.462229950	1.272889989	0.35	126	0.242188
21.748	10:19:11.783	43.462229950	1.272889989	0.35	126	0.242188
21.998	10:19:12.033	43.462229950	1.272889989	0.35	126	0.242188
22.248	10:19:12.283	43.462229950	1.272889989	0.35	126	0.242188
22.498	10:19:12.533	43.462229950	1.272889989	0.35	126	0.242188
22.748	10:19:12.783	43.462229950	1.272889989	0.35	126	0.242188
22.998	10:19:13.033	43.462229950	1.272889989	0.35	126	0.242188
23.248	10:19:13.283	43.462229950	1.272889989	0.35	126	0.242188
23.498	10:19:13.533	43.462229950	1.272889989	0.35	126	0.242188
23.748	10:19:13.783	43.462229950	1.272889989	0.35	126	0.242188
23.998	10:19:14.033	43.462229950	1.272889989	0.35	126	0.242188
24.248	10:19:14.283	43.462229950	1.272889989	0.35	126	0.242188
24.498	10:19:14.533	43.462229950	1.272889989	0.35	126	0.242188
24.748	10:19:14.783	43.462229950	1.272889989	0.35	126	0.242188
24.998	10:19:15.033	43.462229950	1.272889989	0.35	126	0.242188
25.248	10:19:15.283	43.462229950	1.272889989	0.35	126	0.242188
25.498	10:19:15.533	43.462229950	1.272889989	0.35	126	0.242188
25.748	10:19:15.783	43.462229950	1.272889989	0.35	126	0.242188
25.998	10:19:16.033	43.462229950	1.272889989	0.35	126	0.242188
26.248	10:19:16.283	43.462229950	1.272889989	0.35	126	0.242188
26.498	10:19:16.533	43.462229950	1.272889989	0.35	126	0.242188
26.748	10:19:16.783	43.462229950	1.272889989	0.35	126	0.242188
26.998	10:19:17.033	43.462229950	1.272889989	0.35	126	0.242188
27.248	10:19:17.283	43.462229950	1.272889989	0.35	124	0.242188
27.498	10:19:17.533	43.462229950	1.272889989	0.35	124	0.242188
27.748	10:19:17.783	43.462229950	1.272889989	0.35	124	0.242188
27.998	10:19:18.033	43.462229950	1.272889989	0.35	124	0.242188
28.248	10:19:18.283	43.462229950	1.272889989	0.35	124	0.242188
28.498	10:19:18.533	43.462229950	1.272889989	0.35	124	0.242188
28.748	10:19:18.783	43.462229950	1.272889989	0.35	124	0.242188
28.998	10:19:19.033	43.462229950	1.272889989	0.35	124	0.242188
29.248	10:19:19.283	43.462229950	1.272889989	0.35	125	0.242188
29.498	10:19:19.533	43.462229950	1.272889989	0.35	125	0.242188
29.748	10:19:19.783	43.462229950	1.272889989	0.35	125	0.242188
29.998	10:19:20.033	43.462229950	1.272889989	0.35	125	0.242188
30.248	10:19:20.283	43.462229950	1.272889989	0.35	125	0.242188
30.498	10:19:20.533	43.462229950	1.272889989	0.35	125	0.242188
30.748	10:19:20.783	43.462229950	1.272889989	0.35	125	0.242188
30.998	10:19:21.033	43.462229950	1.272889989	0.35	125	0.242188
31.248	10:19:21.283	43.462229950	1.272889989	0.35	125	0.242188
31.498	10:19:21.533	43.462229950	1.272889989	0.35	125	0.242188
31.748	10:19:21.783	43.462229950	1.272889989	0.35	125	0.242188
31.998	10:19:22.033	43.462229950	1.272889989	0.35	125	0.242188
32.248	10:19:22.283	43.462229950	1.272889989	0.35	125	0.242188
32.498	10:19:22.533	43.462229950	1.272889989	0.35	125	0.242188
32.748	10:19:22.783	43.462229950	1.272889989	0.35	125	0.242188
32.998	10:19:23.033	43.462229950	1.272889989	0.35	125	0.242188
33.248	10:19:23.283	43.462229950	1.272889989	0.35	125	0.242188
33.498	10:19:23.533	43.462229950	1.272889989	0.35	125	0.242188
33.748	10:19:23.783	43.462229950	1.272889989	0.35	125	0.242188
33.998	10:19:24.033	43.462229950	1.272889989	0.35	125	0.242188
34.248	10:19:24.283	43.462229950	1.272889989	0.35	125	0.242188
34.498	10:19:24.533	43.462229950	1.272889989	0.35	125	0.242188
34.748	10:19:24.783	43.462229950	1.272889989	0.35	125	0.242188
34.998	10:19:25.033	43.462229950	1.272889989	0.35	125	0.242188
35.248	10:19:25.283	43.462229950	1.272889989	0.35	125	0.242188
35.498	10:19:25.533	43.462229950	1.272889989	0.35	125	0.242188
35.748	10:19:25.783	43.462229950	1.272889989	0.35	125	0.242188
35.998	10:19:26.033	43.462229950	1.272889989	0.35	125	0.242188
36.248	10:19:26.283	43.462229950	1.272889989	0.35	125	0.242188
36.498	10:19:26.533	43.462229950	1.272889989	0.35	125	0.242188
36.748	10:19:26.783	43.462229950	1.272889989	0.35	125	0.242188
36.998	10:19:27.033	43.462229950	1.272889989	0.35	125	0.242188
37.248	10:19:27.283	43.462229950	1.272889989	0.35	125	0.242188
37.498	10:19:27.533	43.462229950	1.272889989	0.35	125	0.242188
37.748	10:19:27.783	43.462229950	1.272889989	0.35	125	0.242188
37.998	10:19:28.033	43.462229950	1.272889989	0.35	125	0.242188
38.248	10:19:28.283	43.462229950	1.272889989	0.35	125	0.242188
38.498	10:19:28.533	43.462229950	1.272889989	0.35	125	0.242188
38.748	10:19:28.783	43.462229950	1.272889989	0.35	125	0.242188
38.998	10:19:29.033	43.462229950	1.272889989	0.35	125	0.242188
39.248	10:19:29.283	43.462229950	1.272889989	0.35	125	0.242188
39.498	10:19:29.533	43.462229950	1.272889989	0.35	125	0.242188
39.748	10:19:29.783	43.462229950	1.272889989	0.35	125	0.242188
39.998	10:19:30.033	43.462229950	1.272889989	0.35	125	0.242188
40.248	10:19:30.283	43.462229950	1.272889989	0.35	125	0.242188
40.498	10:19:30.533	43.462229950	1.272889989	0.35	125	0.242188
40.748	10:19:30.783	43.462229950	1.272889989	0.35	125	0.242188
40.998	10:19:31.033	43.462229950	1.272889989	0.35	125	0.242188
41.248	10:19:31.283	43.462229950	1.272889989	0.35	125	0.242188
41.498	10:19:31.533	43.462229950	1.272889989	0.35	125	0.242188
