Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
12.271	10:51:26.471	43.462229950	1.272889989	0.35	0.35	126	1.296875
12.521	10:51:26.721	43.462229950	1.272889989	0.35	0.35	126	1.296875
12.771	10:51:26.971	43.462229950	1.272889989	0.35	0.35	126	1.296875
13.021	10:51:27.221	43.462229950	1.272889989	0.35	0.35	126	1.296875
13.271	10:51:27.471	43.462229950	1.272889989	0.35	0.35	126	1.296875
13.521	10:51:27.721	43.462229950	1.272889989	0.35	0.35	126	1.296875
13.771	10:51:27.971	43.462229950	1.272889989	0.35	0.35	126	1.046875
14.021	10:51:28.221	43.462229950	1.272889989	0.35	0.35	126	1.296875
14.271	10:51:28.471	43.462229950	1.272889989	0.35	0.35	126	1.296875
14.521	10:51:28.721	43.462229950	1.272889989	0.35	0.35	126	0.589844
14.771	10:51:28.971	43.462229950	1.272889989	0.35	0.35	126	0.613281
15.021	10:51:29.221	43.462229950	1.272889989	0.35	0.35	126	0.527344
15.271	10:51:29.471	43.462229950	1.272889989	0.35	0.35	126	0.796875
15.521	10:51:29.721	43.462229950	1.272889989	0.35	0.35	126	1.296875
15.771	10:51:29.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
16.021	10:51:30.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
16.271	10:51:30.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
16.521	10:51:30.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
16.771	10:51:30.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
17.021	10:51:31.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
17.271	10:51:31.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
17.521	10:51:31.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
17.771	10:51:31.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
18.021	10:51:32.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
18.271	10:51:32.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
18.521	10:51:32.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
18.771	10:51:32.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
19.021	10:51:33.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
19.271	10:51:33.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
19.521	10:51:33.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
19.771	10:51:33.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
20.021	10:51:34.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
20.271	10:51:34.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
20.521	10:51:34.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
20.771	10:51:34.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
