Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_SENSOR_MODEL:acceleration_z	FINKEN_SENSOR_MODEL:acceleration_y	FINKEN_SENSOR_MODEL:acceleration_x	FINKEN_SENSOR_MODEL:velocity_yaw	FINKEN_SENSOR_MODEL:velocity_roll	FINKEN_SENSOR_MODEL:velocity_pitch	FINKEN_SENSOR_MODEL:velocity_z	FINKEN_SENSOR_MODEL:velocity_y	FINKEN_SENSOR_MODEL:velocity_x	FINKEN_SENSOR_MODEL:pos_yaw	FINKEN_SENSOR_MODEL:pos_roll	FINKEN_SENSOR_MODEL:pos_pitch	FINKEN_SENSOR_MODEL:pos_z	FINKEN_SENSOR_MODEL:pos_y	FINKEN_SENSOR_MODEL:pos_x	FINKEN_SENSOR_MODEL:distance_d_back	FINKEN_SENSOR_MODEL:distance_d_left	FINKEN_SENSOR_MODEL:distance_d_rigth	FINKEN_SENSOR_MODEL:distance_d_front
5.159	11:42:41.159	43.462229950	1.272889989	-9.803711	0.118164	0.066406	-0.012695	0.011475	-0.026367	0.	0.	0.	2.755371	-0.001465	0.04834	0.25	0.	0.	101	46	144	293
5.409	11:42:41.409	43.462229950	1.272889989	-9.879883	0.175781	0.037109	-0.012695	0.012695	-0.029785	0.	0.	0.	2.756836	-0.001709	0.048096	0.246094	0.	0.	101	45	144	293
5.659	11:42:41.659	43.462229950	1.272889989	-9.889648	0.166016	0.02832	-0.009521	0.011475	-0.028564	0.	0.	0.	2.757812	-0.001465	0.048096	0.25	0.	0.	102	45	144	293
5.909	11:42:41.909	43.462229950	1.272889989	-9.889648	0.166016	0.02832	-0.009521	0.011475	-0.028564	0.	0.	0.	2.757812	-0.001465	0.048096	0.25	0.	0.	102	45	144	293
6.159	11:42:42.159	43.462229950	1.272889989	-9.866211	0.071289	0.061523	-0.012695	0.010498	-0.027588	0.	0.	0.	2.761475	-0.001709	0.047852	0.25	0.	0.	104	45	145	293
6.409	11:42:42.409	43.462229950	1.272889989	-9.927734	0.161133	0.104492	-0.012695	0.010498	-0.027588	0.	0.	0.	2.761963	-0.001709	0.047852	0.25	0.	0.	104	45	148	293
6.659	11:42:42.659	43.462229950	1.272889989	-9.894531	0.222656	0.075195	-0.012695	0.011475	-0.025391	0.	0.	0.	2.763428	-0.001709	0.047852	0.246094	0.	0.	105	46	144	293
6.909	11:42:42.909	43.462229950	1.272889989	-9.904297	0.217773	0.018555	-0.010498	0.012695	-0.026367	0.	0.	0.	2.764404	-0.001953	0.047607	0.25	0.	0.	104	46	144	293
7.159	11:42:43.159	43.462229950	1.272889989	-9.899414	0.15625	0.084961	-0.014893	0.010498	-0.027588	0.	0.	0.	2.765137	-0.001953	0.047607	0.25	0.	0.	103	46	144	293
7.409	11:42:43.409	43.462229950	1.272889989	-9.975586	0.12793	0.104492	-0.014893	0.006348	-0.027588	0.	0.	0.	2.767578	-0.001953	0.047607	0.25	0.	0.	103	45	144	293
7.659	11:42:43.659	43.462229950	1.272889989	-9.975586	0.12793	0.104492	-0.014893	0.006348	-0.027588	0.	0.	0.	2.767578	-0.001953	0.047607	0.25	0.	0.	103	45	144	293
7.909	11:42:43.909	43.462229950	1.272889989	-9.927734	0.080078	0.099609	-0.011475	0.009521	-0.025391	0.	0.	0.	2.769043	-0.001953	0.047363	0.25	0.	0.	103	46	144	293
8.159	11:42:44.159	43.462229950	1.272889989	-9.914062	0.161133	0.104492	-0.010498	0.011475	-0.027588	0.	0.	0.	2.770508	-0.002197	0.047363	0.25	0.	0.	103	45	144	293
8.409	11:42:44.409	43.462229950	1.272889989	-9.879883	0.166016	0.070312	-0.010498	0.010498	-0.028564	0.	0.	0.	2.77124	-0.002197	0.047363	0.246094	0.	0.	102	45	144	293
8.659	11:42:44.659	43.462229950	1.272889989	-9.870117	0.161133	0.108398	-0.009521	0.014893	-0.028564	0.	0.	0.	2.772705	-0.002197	0.047119	0.25	0.	0.	102	46	144	293
8.909	11:42:44.909	43.462229950	1.272889989	-9.870117	0.161133	0.108398	-0.009521	0.014893	-0.028564	0.	0.	0.	2.772705	-0.002197	0.047119	0.25	0.	0.	102	46	144	293
9.159	11:42:45.159	43.462229950	1.272889989	-9.870117	0.161133	0.108398	-0.009521	0.014893	-0.028564	0.	0.	0.	2.772705	-0.002197	0.047119	0.25	0.	0.	102	46	144	293
9.409	11:42:45.409	43.462229950	1.272889989	-9.870117	0.161133	0.108398	-0.009521	0.014893	-0.028564	0.	0.	0.	2.772705	-0.002197	0.047119	0.25	0.	0.	102	46	144	293
9.659	11:42:45.659	43.462229950	1.272889989	-10.004883	0.089844	0.	-0.011475	0.014893	-0.029785	0.	0.	0.	2.776855	-0.002441	0.047119	0.25	0.	0.	102	46	145	293
9.909	11:42:45.909	43.462229950	1.272889989	-9.818359	0.094727	0.061523	-0.010498	0.012695	-0.024414	0.	0.	0.	2.777588	-0.002441	0.046875	0.246094	0.	0.	102	46	145	293
10.159	11:42:46.159	43.462229950	1.272889989	-9.818359	0.094727	0.061523	-0.010498	0.012695	-0.024414	0.	0.	0.	2.777588	-0.002441	0.046875	0.246094	0.	0.	102	46	145	293
10.409	11:42:46.409	43.462229950	1.272889989	-9.818359	0.094727	0.061523	-0.010498	0.012695	-0.024414	0.	0.	0.	2.777588	-0.002441	0.046875	0.246094	0.	0.	102	46	145	293
10.659	11:42:46.659	43.462229950	1.272889989	-9.851562	0.132812	0.075195	-0.011475	0.011475	-0.028564	0.	0.	0.	2.780273	-0.002686	0.046875	0.25	0.	0.	102	46	144	293
10.909	11:42:46.909	43.462229950	1.272889989	-9.90918	0.118164	0.118164	-0.012695	0.012695	-0.029785	0.	0.	0.	2.78125	-0.002686	0.046631	0.25	0.	0.	102	46	144	293
11.159	11:42:47.159	43.462229950	1.272889989	-9.875	0.084961	0.113281	-0.009521	0.011475	-0.027588	0.	0.	0.	2.782227	-0.002686	0.046631	0.25	0.	0.	102	46	144	293
11.409	11:42:47.409	43.462229950	1.272889989	-9.879883	0.151367	0.089844	-0.011475	0.011475	-0.027588	0.	0.	0.	2.783203	-0.002686	0.046631	0.25	0.	0.	102	46	144	293
11.659	11:42:47.659	43.462229950	1.272889989	-9.917969	0.075195	0.033203	-0.011475	0.010498	-0.028564	0.	0.	0.	2.784424	-0.00293	0.046631	0.25	0.	0.	102	46	144	294
11.909	11:42:47.909	43.462229950	1.272889989	-9.990234	0.089844	0.003906	-0.010498	0.009521	-0.028564	0.	0.	0.	2.784668	-0.00293	0.046631	0.25	0.	0.	102	46	144	293
12.159	11:42:48.159	43.462229950	1.272889989	-9.851562	0.066406	0.061523	-0.014893	0.008301	-0.029785	0.	0.	0.	2.785889	-0.00293	0.046631	0.25	0.	0.	102	46	144	293
12.409	11:42:48.409	43.462229950	1.272889989	-9.841797	0.099609	0.094727	-0.011475	0.009521	-0.027588	0.	0.	0.	2.786865	-0.003174	0.046631	0.25	0.	0.	102	46	144	293
12.659	11:42:48.659	43.462229950	1.272889989	-9.917969	0.108398	0.051758	-0.013672	0.010498	-0.025391	0.	0.	0.	2.787109	-0.003174	0.046631	0.25	0.	0.	102	46	144	293
12.909	11:42:48.909	43.462229950	1.272889989	-9.947266	0.080078	0.041992	-0.012695	0.010498	-0.029785	0.	0.	0.	2.78833	-0.003174	0.046631	0.25	0.	0.	102	46	144	293
13.159	11:42:49.159	43.462229950	1.272889989	-9.870117	0.104492	0.018555	-0.011475	0.011475	-0.026367	0.	0.	0.	2.790527	-0.003418	0.046631	0.25	0.	0.	102	46	144	293
13.409	11:42:49.409	43.462229950	1.272889989	-9.932617	0.118164	0.061523	-0.011475	0.007324	-0.028564	0.	0.	0.	2.790771	-0.003418	0.046631	0.25	0.	0.	102	46	144	293
13.659	11:42:49.659	43.462229950	1.272889989	-9.889648	0.041992	0.099609	-0.011475	0.008301	-0.029785	0.	0.	0.	2.791504	-0.003418	0.046631	0.25	0.	0.	102	46	144	293
13.909	11:42:49.909	43.462229950	1.272889989	-9.889648	0.084961	0.013672	-0.012695	0.008301	-0.027588	0.	0.	0.	2.791748	-0.003418	0.046631	0.25	0.	0.	102	46	144	293
14.159	11:42:50.159	43.462229950	1.272889989	-9.827148	0.104492	0.123047	-0.013672	0.013672	-0.025391	0.	0.	0.	2.792725	-0.003418	0.046631	0.25	0.	0.	102	45	144	294
14.409	11:42:50.409	43.462229950	1.272889989	-9.818359	0.089844	0.018555	-0.013672	0.009521	-0.026367	0.	0.	0.	2.794189	-0.003418	0.046631	0.25	0.	0.	103	45	144	294
14.659	11:42:50.659	43.462229950	1.272889989	-9.879883	0.046875	0.061523	-0.011475	0.009521	-0.027588	0.	0.	0.	2.794434	-0.003418	0.046631	0.25	0.	0.	103	46	144	294
