Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
2.759,11:42:38.759,-9.957031,0.161133,0.041992,-0.010498,0.011475,-0.028564,0.,0.,0.,2.74292,-0.001221,0.049316,0.25,102,46,144,293
2.859,11:42:38.859,-9.827148,0.099609,0.033203,-0.012695,0.011475,-0.028564,0.,0.,0.,2.743408,-0.001465,0.049316,0.25,102,46,144,293
2.959,11:42:38.959,-9.827148,0.099609,0.033203,-0.012695,0.011475,-0.028564,0.,0.,0.,2.743408,-0.001465,0.049316,0.25,102,46,144,293
3.059,11:42:39.059,-9.84668,0.061523,0.033203,-0.011475,0.008301,-0.027588,0.,0.,0.,2.743896,-0.001221,0.049072,0.25,102,46,144,293
3.159,11:42:39.159,-9.9375,0.151367,0.056641,-0.012695,0.012695,-0.027588,0.,0.,0.,2.744385,-0.001221,0.049072,0.246094,102,45,144,293
3.259,11:42:39.259,-9.9375,0.151367,0.056641,-0.012695,0.012695,-0.027588,0.,0.,0.,2.744385,-0.001221,0.049072,0.246094,102,45,144,293
3.359,11:42:39.359,-9.9375,0.151367,0.056641,-0.012695,0.012695,-0.027588,0.,0.,0.,2.744385,-0.001221,0.049072,0.246094,102,45,144,293
3.459,11:42:39.459,-9.961914,0.084961,0.061523,-0.011475,0.011475,-0.026367,0.,0.,0.,2.746582,-0.001465,0.049072,0.25,101,46,145,293
3.559,11:42:39.559,-9.889648,0.056641,0.075195,-0.014893,0.009521,-0.028564,0.,0.,0.,2.747314,-0.001465,0.048828,0.25,101,46,144,293
3.659,11:42:39.659,-9.922852,0.066406,0.046875,-0.014893,0.010498,-0.027588,0.,0.,0.,2.747803,-0.001465,0.048828,0.25,101,45,144,293
3.759,11:42:39.759,-9.879883,0.118164,0.003906,-0.011475,0.009521,-0.027588,0.,0.,0.,2.748535,-0.001465,0.048828,0.25,101,45,145,293
3.859,11:42:39.859,-9.870117,0.132812,0.008789,-0.010498,0.011475,-0.027588,0.,0.,0.,2.749023,-0.001465,0.048828,0.25,101,45,146,293
3.959,11:42:39.959,-9.870117,0.132812,0.008789,-0.010498,0.011475,-0.027588,0.,0.,0.,2.749023,-0.001465,0.048828,0.25,101,45,146,293
4.059,11:42:40.059,-9.922852,0.104492,0.070312,-0.013672,0.012695,-0.026367,0.,0.,0.,2.749512,-0.001465,0.048584,0.25,101,46,145,293
4.159,11:42:40.159,-9.836914,0.061523,0.123047,-0.013672,0.008301,-0.026367,0.,0.,0.,2.750488,-0.001465,0.048584,0.25,101,46,145,293
4.259,11:42:40.259,-9.755859,0.146484,0.061523,-0.011475,0.011475,-0.024414,0.,0.,0.,2.751221,-0.001465,0.048584,0.25,101,46,146,293
