Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.273,11:25:51.273,-9.870117,0.066406,0.15625,-0.014893,0.007324,-0.025391,0.,0.,0.,2.820801,-0.01123,0.053711,0.242188,101,47,51,294
1.373,11:25:51.373,-9.927734,0.132812,0.108398,-0.013672,0.010498,-0.028564,0.,0.,0.,2.820801,-0.01123,0.053711,0.246094,101,46,51,275
1.473,11:25:51.473,-9.952148,0.089844,0.084961,-0.009521,0.009521,-0.028564,0.,0.,0.,2.820801,-0.01123,0.053711,0.246094,101,46,51,220
1.573,11:25:51.573,-9.952148,0.089844,0.084961,-0.009521,0.009521,-0.028564,0.,0.,0.,2.820801,-0.01123,0.053711,0.246094,101,46,51,220
1.673,11:25:51.673,-9.904297,0.051758,0.089844,-0.012695,0.006348,-0.029785,0.,0.,0.,2.820801,-0.01123,0.053711,0.242188,101,46,51,275
1.773,11:25:51.773,-9.904297,0.051758,0.089844,-0.012695,0.006348,-0.029785,0.,0.,0.,2.820801,-0.01123,0.053711,0.242188,101,46,51,275
1.873,11:25:51.873,-9.947266,0.132812,0.099609,-0.011475,0.009521,-0.026367,0.,0.,0.,2.820801,-0.010986,0.053711,0.242188,101,46,51,294
1.973,11:25:51.973,-10.047852,0.118164,0.137695,-0.016846,0.010498,-0.025391,0.,0.,0.,2.821045,-0.010986,0.053711,0.242188,101,46,51,294
2.073,11:25:52.073,-9.975586,0.051758,0.146484,-0.011475,0.009521,-0.027588,0.,0.,0.,2.821045,-0.010986,0.053711,0.242188,101,46,51,294
2.173,11:25:52.173,-9.917969,0.084961,0.108398,-0.012695,0.009521,-0.026367,0.,0.,0.,2.820801,-0.010986,0.053711,0.246094,101,46,51,275
2.273,11:25:52.273,-9.995117,0.037109,0.104492,-0.012695,0.008301,-0.028564,0.,0.,0.,2.820801,-0.01123,0.053711,0.242188,102,46,51,221
2.373,11:25:52.373,-9.90918,0.018555,0.12793,-0.013672,0.013672,-0.025391,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,102,46,51,221
2.473,11:25:52.473,-9.904297,0.118164,0.070312,-0.011475,0.010498,-0.025391,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,102,46,51,275
2.573,11:25:52.573,-9.904297,0.118164,0.070312,-0.011475,0.010498,-0.025391,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,102,46,51,275
2.673,11:25:52.673,-9.914062,0.137695,0.099609,-0.011475,0.011475,-0.027588,0.,0.,0.,2.821045,-0.01123,0.053711,0.246094,101,46,51,294
2.773,11:25:52.773,-9.884766,0.061523,0.104492,-0.010498,0.009521,-0.027588,0.,0.,0.,2.821045,-0.01123,0.053711,0.246094,101,46,51,294
2.873,11:25:52.873,-9.985352,0.094727,0.084961,-0.010498,0.00415,-0.028564,0.,0.,0.,2.820801,-0.01123,0.053711,0.242188,101,46,51,294
2.973,11:25:52.973,-9.975586,0.023438,0.146484,-0.008301,0.011475,-0.027588,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,101,46,51,294
3.073,11:25:53.073,-9.904297,0.084961,0.179688,-0.012695,0.006348,-0.027588,0.,0.,0.,2.821045,-0.01123,0.053711,0.246094,101,46,51,294
3.173,11:25:53.173,-9.904297,0.123047,0.123047,-0.011475,0.008301,-0.024414,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,101,46,51,294
3.273,11:25:53.273,-9.894531,0.099609,0.056641,-0.010498,0.010498,-0.027588,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,101,46,51,294
3.373,11:25:53.373,-9.975586,0.099609,0.146484,-0.012695,0.009521,-0.026367,0.,0.,0.,2.821045,-0.01123,0.053711,0.246094,101,46,51,294
3.473,11:25:53.473,-10.014648,0.089844,0.099609,-0.011475,0.007324,-0.026367,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,101,47,51,294
3.573,11:25:53.573,-10.014648,0.089844,0.099609,-0.011475,0.007324,-0.026367,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,101,47,51,294
3.673,11:25:53.673,-9.995117,0.046875,0.104492,-0.013672,0.009521,-0.027588,0.,0.,0.,2.821045,-0.01123,0.053711,0.242188,101,46,51,294
3.773,11:25:53.773,-9.884766,0.118164,0.204102,-0.011475,0.005127,-0.026367,0.,0.,0.,2.821045,-0.01123,0.053467,0.242188,101,46,51,294
3.873,11:25:53.873,-9.841797,0.099609,0.166016,-0.015869,0.010498,-0.028564,0.,0.,0.,2.821045,-0.01123,0.053467,0.246094,101,46,51,295
3.973,11:25:53.973,-9.841797,0.089844,0.084961,-0.012695,0.010498,-0.029785,0.,0.,0.,2.821045,-0.01123,0.053467,0.246094,101,46,51,294
4.073,11:25:54.073,-9.952148,0.132812,0.137695,-0.012695,0.006348,-0.025391,0.,0.,0.,2.821289,-0.01123,0.053467,0.246094,101,46,51,294
4.173,11:25:54.173,-9.813477,0.146484,0.075195,-0.012695,0.009521,-0.026367,0.,0.,0.,2.821045,-0.010986,0.053467,0.246094,101,46,51,294
4.273,11:25:54.273,-9.90918,0.12793,0.023438,-0.012695,0.009521,-0.029785,0.,0.,0.,2.820801,-0.010986,0.053467,0.242188,101,46,51,294
4.373,11:25:54.373,-9.9375,0.089844,0.141602,-0.010498,0.009521,-0.024414,0.,0.,0.,2.821045,-0.010986,0.053467,0.242188,102,46,51,294
4.473,11:25:54.473,-9.875,0.179688,0.113281,-0.010498,0.007324,-0.028564,0.,0.,0.,2.821045,-0.01123,0.053467,0.242188,101,46,51,294
