Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.612,14:48:18.612,-9.942383,0.170898,0.051758,-0.015869,0.011475,-0.026367,0.,0.,0.,2.368896,0.00293,0.02124,0.238281,101,44,54,101
1.712,14:48:18.712,-9.841797,0.199219,0.089844,-0.011475,0.016846,-0.028564,0.,0.,0.,2.364502,0.00293,0.021729,0.238281,100,44,60,101
1.812,14:48:18.812,-9.841797,0.199219,0.089844,-0.011475,0.016846,-0.028564,0.,0.,0.,2.364502,0.00293,0.021729,0.238281,100,44,60,101
1.912,14:48:18.912,-9.813477,0.118164,0.089844,-0.016846,0.016846,-0.026367,0.,0.,0.,2.360107,0.00293,0.022461,0.238281,100,44,60,101
2.012,14:48:19.012,-9.894531,0.123047,0.051758,-0.014893,0.010498,-0.028564,0.,0.,0.,2.351074,0.003174,0.023438,0.238281,91,44,52,101
2.112,14:48:19.112,-9.693359,0.137695,0.080078,-0.011475,0.016846,-0.027588,0.,0.,0.,2.34668,0.003174,0.023926,0.238281,91,44,52,101
2.212,14:48:19.212,-9.818359,0.15625,0.056641,-0.014893,0.012695,-0.028564,0.,0.,0.,2.342285,0.003174,0.024414,0.238281,91,44,52,101
2.312,14:48:19.312,-9.770508,0.094727,0.084961,-0.014893,0.013672,-0.025391,0.,0.,0.,2.337891,0.003174,0.024902,0.238281,91,44,52,101
2.412,14:48:19.412,-9.827148,0.137695,0.141602,-0.012695,0.015869,-0.027588,0.,0.,0.,2.333496,0.003174,0.025391,0.238281,91,44,51,101
2.512,14:48:19.512,-9.798828,0.170898,0.132812,-0.011475,0.013672,-0.025391,0.,0.,0.,2.329346,0.003418,0.025879,0.238281,91,44,51,101
2.612,14:48:19.612,-9.798828,0.161133,0.046875,-0.010498,0.014893,-0.026367,0.,0.,0.,2.324951,0.003418,0.026367,0.238281,91,44,51,101
2.712,14:48:19.712,-9.884766,0.094727,0.132812,-0.011475,0.014893,-0.028564,0.,0.,0.,2.320801,0.003418,0.026855,0.238281,89,44,51,101
2.812,14:48:19.812,-9.884766,0.094727,0.132812,-0.011475,0.014893,-0.028564,0.,0.,0.,2.320801,0.003418,0.026855,0.238281,89,44,51,101
2.912,14:48:19.912,-9.827148,0.142578,0.108398,-0.012695,0.009521,-0.027588,0.,0.,0.,2.31665,0.003418,0.027344,0.238281,89,45,51,101
3.012,14:48:20.012,-9.879883,0.118164,0.104492,-0.013672,0.015869,-0.027588,0.,0.,0.,2.30835,0.003418,0.02832,0.238281,87,44,51,101
3.112,14:48:20.112,-9.894531,0.099609,0.089844,-0.015869,0.013672,-0.026367,0.,0.,0.,2.304199,0.003418,0.028809,0.238281,87,44,51,101
3.212,14:48:20.212,-9.894531,0.099609,0.089844,-0.015869,0.013672,-0.026367,0.,0.,0.,2.304199,0.003418,0.028809,0.238281,87,44,51,101
3.312,14:48:20.312,-9.827148,0.099609,0.123047,-0.012695,0.012695,-0.027588,0.,0.,0.,2.292236,0.003418,0.030029,0.238281,87,45,52,101
3.412,14:48:20.412,-9.827148,0.099609,0.123047,-0.012695,0.012695,-0.027588,0.,0.,0.,2.292236,0.003418,0.030029,0.238281,87,45,52,101
3.512,14:48:20.512,-9.827148,0.170898,0.046875,-0.012695,0.010498,-0.023193,0.,0.,0.,2.28833,0.003418,0.030518,0.238281,87,45,52,101
3.612,14:48:20.612,-9.736328,0.222656,0.151367,-0.012695,0.010498,-0.029785,0.,0.,0.,2.284424,0.003418,0.031006,0.238281,88,45,56,101
3.712,14:48:20.712,-9.904297,0.12793,0.046875,-0.014893,0.014893,-0.025391,0.,0.,0.,2.280273,0.003418,0.03125,0.238281,88,44,62,101
3.812,14:48:20.812,-9.904297,0.12793,0.046875,-0.014893,0.014893,-0.025391,0.,0.,0.,2.280273,0.003418,0.03125,0.238281,88,44,62,101
3.912,14:48:20.912,-9.793945,0.104492,0.046875,-0.013672,0.012695,-0.029785,0.,0.,0.,2.276367,0.003418,0.031738,0.238281,88,44,58,101
4.012,14:48:21.012,-10.009766,0.094727,0.099609,-0.011475,0.018066,-0.027588,0.,0.,0.,2.268799,0.003174,0.032715,0.238281,87,44,51,101
4.112,14:48:21.112,-9.774414,0.099609,0.099609,-0.016846,0.016846,-0.028564,0.,0.,0.,2.265137,0.003174,0.032959,0.238281,87,44,51,101
4.212,14:48:21.212,-9.942383,0.113281,0.146484,-0.016846,0.011475,-0.027588,0.,0.,0.,2.261475,0.003174,0.033447,0.238281,87,44,51,101
4.312,14:48:21.312,-9.803711,0.15625,0.075195,-0.015869,0.014893,-0.029785,0.,0.,0.,2.257568,0.003174,0.033936,0.238281,87,44,52,101
4.412,14:48:21.412,-9.803711,0.15625,0.075195,-0.015869,0.014893,-0.029785,0.,0.,0.,2.257568,0.003174,0.033936,0.238281,87,44,52,101
4.512,14:48:21.512,-9.803711,0.094727,0.084961,-0.011475,0.009521,-0.027588,0.,0.,0.,2.246338,0.00293,0.034912,0.238281,87,44,52,101
4.612,14:48:21.612,-9.803711,0.094727,0.084961,-0.011475,0.009521,-0.027588,0.,0.,0.,2.246338,0.00293,0.034912,0.238281,87,44,52,101
4.712,14:48:21.712,-9.660156,0.071289,0.080078,-0.014893,0.012695,-0.025391,0.,0.,0.,2.24292,0.00293,0.0354,0.238281,87,44,52,101
4.812,14:48:21.812,-9.660156,0.071289,0.080078,-0.014893,0.012695,-0.025391,0.,0.,0.,2.24292,0.00293,0.0354,0.238281,87,44,52,101
4.912,14:48:21.912,-9.851562,0.12793,0.051758,-0.011475,0.012695,-0.028564,0.,0.,0.,2.23584,0.002686,0.036133,0.238281,87,44,52,101
5.012,14:48:22.012,-9.870117,0.123047,0.094727,-0.015869,0.014893,-0.027588,0.,0.,0.,2.232422,0.002686,0.036621,0.238281,87,44,51,101
