Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.851,14:28:42.851,-9.373047,-0.460938,-1.040039,-0.025391,-0.011475,-0.028564,0.,0.,0.,2.828369,-0.012695,0.049805,0.242188,98,43,53,298
1.951,14:28:42.951,-9.243164,0.755859,-0.003906,-0.041504,0.027588,-0.073242,0.,0.,0.,2.828857,-0.012451,0.049561,0.242188,99,43,51,296
2.051,14:28:43.051,-9.243164,0.755859,-0.003906,-0.041504,0.027588,-0.073242,0.,0.,0.,2.828857,-0.012451,0.049561,0.242188,99,43,51,296
2.151,14:28:43.151,-10.669922,0.199219,1.362305,0.019043,0.111572,-0.039307,0.,0.,0.,2.829346,-0.012451,0.049316,0.242188,100,43,51,296
2.251,14:28:43.251,-9.703125,-0.456055,-0.037109,-0.010498,-0.066895,-0.064697,0.,0.,0.,2.829102,-0.011963,0.049316,0.242188,101,43,52,296
2.351,14:28:43.351,-9.750977,-0.213867,-1.287109,-0.028564,0.066895,0.007324,0.,0.,0.,2.829102,-0.011963,0.050049,0.242188,101,43,51,298
2.451,14:28:43.451,-9.133789,-0.308594,0.455078,-0.023193,0.014893,-0.02002,0.,0.,0.,2.829102,-0.012207,0.049561,0.242188,100,43,51,298
2.551,14:28:43.551,-8.845703,0.869141,-0.308594,-0.031738,0.006348,0.005127,0.,0.,0.,2.82959,-0.011963,0.049805,0.242188,100,43,51,296
2.651,14:28:43.651,-10.871094,-0.379883,0.844727,0.001953,-0.048828,0.016846,0.,0.,0.,2.82959,-0.012207,0.049316,0.242188,100,43,51,295
2.751,14:28:43.751,-10.339844,0.669922,-1.058594,-0.02002,-0.052002,-0.066895,0.,0.,0.,2.82959,-0.012207,0.049561,0.242188,100,43,51,295
