Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.609,15:14:9.609,-9.741211,-0.275391,-0.161133,0.032959,-0.054199,-0.102051,0.,0.,0.,3.095703,-0.000977,-0.031982,0.242188,54,32,70,212
1.709,15:14:9.709,-9.832031,0.,-0.146484,-0.018066,0.000977,-0.024414,0.,0.,0.,3.098145,-0.008301,-0.035156,0.242188,92,30,70,212
1.809,15:14:9.809,-9.832031,0.,-0.146484,-0.018066,0.000977,-0.024414,0.,0.,0.,3.098145,-0.008301,-0.035156,0.242188,92,30,70,212
1.909,15:14:9.909,-9.832031,0.,-0.146484,-0.018066,0.000977,-0.024414,0.,0.,0.,3.098145,-0.008301,-0.035156,0.242188,92,30,70,212
2.009,15:14:10.009,-9.841797,-0.204102,-0.222656,-0.060547,0.07959,0.014893,0.,0.,0.,3.094238,-0.010254,-0.027344,0.242188,104,29,70,212
2.109,15:14:10.109,-9.841797,-0.204102,-0.222656,-0.060547,0.07959,0.014893,0.,0.,0.,3.094238,-0.010254,-0.027344,0.242188,104,29,70,212
2.209,15:14:10.209,-9.731445,0.15625,-0.246094,-0.070068,0.07959,0.049805,0.,0.,0.,3.085449,-0.007324,-0.024414,0.242188,144,33,69,24
2.309,15:14:10.309,-9.813477,-0.351562,0.174805,0.111572,-0.003174,-0.027588,0.,0.,0.,3.083984,-0.003418,-0.022705,0.242188,30,33,69,24
2.409,15:14:10.409,-10.133789,0.456055,0.668945,-0.09668,-0.126465,0.153076,0.,0.,0.,3.086182,-0.006836,-0.019043,0.242188,30,34,69,24
2.509,15:14:10.509,-9.789062,-0.123047,-0.146484,0.070068,-0.071289,-0.13501,0.,0.,0.,3.090576,-0.005615,-0.025879,0.242188,30,34,70,24
2.609,15:14:10.609,-10.038086,0.517578,-0.033203,-0.062744,-0.122314,-0.182861,0.,0.,0.,3.094971,-0.023682,-0.033691,0.242188,32,33,70,24
2.709,15:14:10.709,-9.765625,0.499023,-0.768555,-0.093506,-0.065918,0.056396,0.,0.,0.,3.087158,-0.017822,-0.041992,0.242188,36,30,70,24
2.809,15:14:10.809,-10.085938,-0.537109,1.358398,0.034912,-0.277588,-0.19043,0.,0.,0.,3.086182,-0.011719,-0.048096,0.242188,99,30,70,24
2.909,15:14:10.909,-9.28125,0.289062,-1.091797,-0.186035,-0.426514,-0.308594,0.,0.,0.,3.080322,-0.049805,-0.091797,0.238281,194,33,73,24
3.009,15:14:11.009,-9.28125,0.289062,-1.091797,-0.186035,-0.426514,-0.308594,0.,0.,0.,3.080322,-0.049805,-0.091797,0.238281,194,33,73,24
3.109,15:14:11.109,-10.339844,0.046875,-1.234375,-0.428711,-0.379883,0.166016,0.,0.,0.,3.084229,-0.061035,-0.178711,0.230469,35,32,79,24
3.209,15:14:11.209,-9.673828,2.072266,-3.310547,0.160645,0.158447,-0.13501,0.,0.,0.,3.083252,-0.083008,-0.21167,0.226562,33,32,74,24
3.309,15:14:11.309,-5.935547,4.402344,-6.59668,0.662842,0.734131,0.88208,0.,0.,0.,3.094971,-0.061768,-0.169678,0.222656,32,32,72,24
3.409,15:14:11.409,-5.935547,4.402344,-6.59668,0.662842,0.734131,0.88208,0.,0.,0.,3.094971,-0.061768,-0.169678,0.222656,32,32,72,24
3.509,15:14:11.509,-9.617188,0.318359,0.232422,-0.351074,-0.494629,-0.235107,0.,0.,0.,-3.107178,-0.067871,-0.044678,0.242188,32,33,68,27
3.609,15:14:11.609,-9.617188,0.318359,0.232422,-0.351074,-0.494629,-0.235107,0.,0.,0.,-3.107178,-0.067871,-0.044678,0.242188,32,33,68,27
3.709,15:14:11.709,-9.884766,2.248047,-0.037109,-0.471436,-0.258545,0.260498,0.,0.,0.,3.133789,-0.07373,-0.09375,0.242188,32,33,67,24
3.809,15:14:11.809,-9.884766,2.248047,-0.037109,-0.471436,-0.258545,0.260498,0.,0.,0.,3.133789,-0.07373,-0.09375,0.242188,32,33,67,24
3.909,15:14:11.909,-9.655273,1.848633,1.206055,-0.143555,0.312744,0.444824,0.,0.,0.,-3.124023,-0.068359,-0.033936,0.242188,32,28,66,23
4.009,15:14:12.009,-9.760742,0.146484,-0.023438,-0.181885,-0.214844,-0.060547,0.,0.,0.,-3.137451,-0.04248,-0.0354,0.242188,32,21,66,23
4.109,15:14:12.109,-9.760742,0.146484,-0.023438,-0.181885,-0.214844,-0.060547,0.,0.,0.,-3.137451,-0.04248,-0.0354,0.242188,32,21,66,23
4.209,15:14:12.209,-8.8125,1.49707,-0.089844,-0.006348,0.104248,0.279785,0.,0.,0.,3.134277,-0.033936,-0.045166,0.246094,30,24,66,23
4.309,15:14:12.309,-9.46875,0.013672,0.227539,0.132812,0.011475,0.034912,0.,0.,0.,3.133789,-0.019775,-0.041992,0.242188,29,29,66,23
4.409,15:14:12.409,-9.683594,-0.023438,-0.204102,-0.037109,0.213867,-0.006348,0.,0.,0.,3.138672,-0.020508,-0.033936,0.242188,27,28,68,23
