Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.654,15:33:23.654,-12.675781,5.357422,5.637695,0.92041,-0.308594,-0.030762,0.,0.,0.,0.,0.,0.,0.234375,135,46,148,205
1.754,15:33:23.754,-9.813477,-0.446289,-0.084961,0.443604,-0.416992,0.213867,0.,0.,0.,0.,0.,0.,0.203125,138,52,147,220
1.854,15:33:23.854,-9.827148,0.033203,0.75,0.279785,-0.314941,-0.110596,0.,0.,0.,0.,0.,0.,0.238281,139,70,147,230
1.954,15:33:23.954,-9.708008,0.736328,0.118164,0.26709,-0.144531,0.00415,0.,0.,0.,0.,0.,0.,0.242188,140,118,146,146
2.054,15:33:24.054,-9.708008,0.736328,0.118164,0.26709,-0.144531,0.00415,0.,0.,0.,0.,0.,0.,0.242188,140,118,146,146
2.154,15:33:24.154,-10.186523,-1.117188,0.293945,-0.711914,0.258545,-0.162598,0.,0.,0.,0.,0.,0.,0.234375,130,146,146,89
2.254,15:33:24.254,-9.185547,0.936523,-0.123047,0.199951,0.008301,-0.043457,0.,0.,0.,0.,0.,0.,0.234375,91,141,146,89
2.354,15:33:24.354,-9.665039,0.712891,-0.037109,-0.11792,-0.0979,0.199951,0.,0.,0.,0.,0.,0.,0.238281,66,135,146,89
2.454,15:33:24.454,-9.870117,0.545898,0.839844,0.095703,-0.333984,0.098877,0.,0.,0.,0.,0.,0.,0.238281,67,136,146,89
2.554,15:33:24.554,-10.110352,0.379883,1.595703,0.247803,-0.056396,-0.026367,0.,0.,0.,0.,0.,0.,0.230469,68,138,146,89
2.654,15:33:24.654,-10.110352,0.379883,1.595703,0.247803,-0.056396,-0.026367,0.,0.,0.,0.,0.,0.,0.230469,68,138,146,89
2.754,15:33:24.754,-8.649414,0.217773,-1.15332,0.408447,-0.263916,-0.170166,0.,0.,0.,0.,0.,0.,0.199219,67,136,146,203
2.854,15:33:24.854,-10.085938,-0.023438,-0.118164,0.17749,-0.639404,0.57251,0.,0.,0.,0.,0.,0.,0.203125,68,135,146,279
2.954,15:33:24.954,-10.018555,-0.15625,-0.298828,0.274414,0.089355,0.071289,0.,0.,0.,0.,0.,0.,0.238281,69,135,145,278
3.054,15:33:25.054,-9.726562,-0.179688,0.146484,-0.313721,-0.203125,0.191406,0.,0.,0.,0.,0.,0.,0.238281,69,135,145,277
3.154,15:33:25.154,-9.861328,-0.422852,-0.94043,-0.029785,-0.310547,-0.006348,0.,0.,0.,0.,0.,0.,0.238281,70,136,144,277
3.254,15:33:25.254,-9.391602,-0.427734,-0.831055,-0.243652,0.055176,-0.142578,0.,0.,0.,0.,0.,0.,0.238281,70,135,144,277
