Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
2.812,14:37:17.812,-9.836914,0.123047,0.037109,-0.010498,0.011475,-0.027588,0.,0.,0.,2.804932,-0.011963,0.047852,0.238281,101,44,146,293
2.912,14:37:17.912,-9.875,0.137695,0.080078,-0.012695,0.010498,-0.025391,0.,0.,0.,2.804932,-0.011963,0.047607,0.238281,101,44,146,293
3.012,14:37:18.012,-9.818359,0.071289,0.075195,-0.011475,0.012695,-0.029785,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,101,44,146,293
3.112,14:37:18.112,-9.818359,0.071289,0.075195,-0.011475,0.012695,-0.029785,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,101,44,146,293
3.212,14:37:18.212,-9.894531,0.179688,0.066406,-0.008301,0.009521,-0.028564,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,43,146,293
3.312,14:37:18.312,-9.9375,0.12793,0.046875,-0.013672,0.010498,-0.026367,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,43,146,293
3.412,14:37:18.412,-9.832031,0.104492,0.123047,-0.010498,0.010498,-0.027588,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,44,146,293
3.512,14:37:18.512,-9.879883,0.151367,0.113281,-0.012695,0.010498,-0.028564,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,44,146,293
3.612,14:37:18.612,-9.851562,0.104492,0.033203,-0.011475,0.010498,-0.028564,0.,0.,0.,2.804932,-0.012207,0.047852,0.238281,102,44,146,293
3.712,14:37:18.712,-9.836914,0.113281,0.003906,-0.008301,0.009521,-0.027588,0.,0.,0.,2.804932,-0.011963,0.047852,0.238281,102,44,146,293
3.812,14:37:18.812,-9.875,0.175781,0.084961,-0.012695,0.009521,-0.028564,0.,0.,0.,2.804932,-0.011963,0.047852,0.238281,102,44,146,293
3.912,14:37:18.912,-9.899414,0.151367,0.023438,-0.008301,0.011475,-0.028564,0.,0.,0.,2.805176,-0.011963,0.047852,0.238281,102,44,146,293
4.012,14:37:19.012,-9.927734,0.051758,0.141602,-0.013672,0.009521,-0.026367,0.,0.,0.,2.805176,-0.011963,0.047852,0.238281,101,44,146,293
4.112,14:37:19.112,-9.927734,0.051758,0.141602,-0.013672,0.009521,-0.026367,0.,0.,0.,2.805176,-0.011963,0.047852,0.238281,101,44,146,293
4.212,14:37:19.212,-9.851562,0.222656,0.080078,-0.009521,0.011475,-0.029785,0.,0.,0.,2.805176,-0.011963,0.047852,0.238281,101,44,146,293
4.312,14:37:19.312,-9.818359,0.142578,0.104492,-0.012695,0.011475,-0.027588,0.,0.,0.,2.805176,-0.011963,0.047852,0.238281,102,44,146,293
4.412,14:37:19.412,-9.856445,0.104492,0.023438,-0.011475,0.010498,-0.025391,0.,0.,0.,2.805176,-0.011963,0.047852,0.238281,102,44,146,293
4.512,14:37:19.512,-9.894531,0.071289,0.070312,-0.011475,0.008301,-0.025391,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,44,146,293
4.612,14:37:19.612,-9.932617,0.104492,0.066406,-0.013672,0.009521,-0.027588,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,44,146,293
4.712,14:37:19.712,-9.884766,0.175781,0.094727,-0.013672,0.009521,-0.032959,0.,0.,0.,2.80542,-0.011963,0.047852,0.238281,102,44,146,293
4.812,14:37:19.812,-9.884766,0.175781,0.094727,-0.013672,0.009521,-0.032959,0.,0.,0.,2.80542,-0.011963,0.047852,0.238281,102,44,146,293
4.912,14:37:19.912,-9.870117,0.089844,0.146484,-0.011475,0.012695,-0.025391,0.,0.,0.,2.80542,-0.011963,0.047852,0.238281,102,44,146,293
5.012,14:37:20.012,-9.870117,0.089844,0.146484,-0.011475,0.012695,-0.025391,0.,0.,0.,2.80542,-0.011963,0.047852,0.238281,102,44,146,293
5.112,14:37:20.112,-9.870117,0.089844,0.146484,-0.011475,0.012695,-0.025391,0.,0.,0.,2.80542,-0.011963,0.047852,0.238281,102,44,146,293
5.212,14:37:20.212,-9.841797,0.104492,0.051758,-0.012695,0.010498,-0.030762,0.,0.,0.,2.80542,-0.012207,0.047852,0.238281,102,44,146,293
5.312,14:37:20.312,-9.889648,0.161133,0.02832,-0.011475,0.008301,-0.026367,0.,0.,0.,2.805176,-0.012207,0.047852,0.238281,102,44,146,293
5.412,14:37:20.412,-9.894531,0.104492,0.070312,-0.010498,0.010498,-0.025391,0.,0.,0.,2.80542,-0.012207,0.047607,0.238281,102,44,146,293
5.512,14:37:20.512,-9.894531,0.15625,0.003906,-0.012695,0.010498,-0.030762,0.,0.,0.,2.80542,-0.012207,0.047852,0.238281,102,44,146,293
5.612,14:37:20.612,-9.856445,0.051758,0.056641,-0.010498,0.008301,-0.027588,0.,0.,0.,2.805176,-0.012207,0.047607,0.238281,102,44,146,293
5.712,14:37:20.712,-9.856445,0.051758,0.056641,-0.010498,0.008301,-0.027588,0.,0.,0.,2.805176,-0.012207,0.047607,0.238281,102,44,146,293
5.812,14:37:20.812,-9.90918,0.113281,0.051758,-0.013672,0.009521,-0.029785,0.,0.,0.,2.805176,-0.012207,0.047607,0.238281,102,44,146,293
5.912,14:37:20.912,-9.90918,0.113281,0.051758,-0.013672,0.009521,-0.029785,0.,0.,0.,2.805176,-0.012207,0.047607,0.238281,102,44,146,293
