Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.432,14:52:30.432,-9.861328,0.113281,0.02832,-0.013672,0.009521,-0.027588,0.,0.,0.,2.782959,-0.01001,0.044189,0.238281,102,44,51,101
1.532,14:52:30.532,-9.875,0.108398,0.061523,-0.011475,0.012695,-0.024414,0.,0.,0.,2.782959,-0.01001,0.044189,0.238281,102,44,51,101
1.632,14:52:30.632,-9.875,0.108398,0.061523,-0.011475,0.012695,-0.024414,0.,0.,0.,2.782959,-0.01001,0.044189,0.238281,102,44,51,101
1.732,14:52:30.732,-9.922852,0.118164,-0.02832,-0.011475,0.012695,-0.027588,0.,0.,0.,2.782959,-0.01001,0.044434,0.238281,102,45,52,101
1.832,14:52:30.832,-9.899414,0.066406,0.037109,-0.008301,0.009521,-0.027588,0.,0.,0.,2.782959,-0.01001,0.044434,0.238281,102,45,52,101
1.932,14:52:30.932,-9.808594,0.071289,0.070312,-0.009521,0.013672,-0.027588,0.,0.,0.,2.782959,-0.01001,0.044434,0.238281,102,45,52,101
2.032,14:52:31.032,-9.875,0.056641,0.099609,-0.011475,0.013672,-0.027588,0.,0.,0.,2.782959,-0.01001,0.044434,0.238281,102,45,52,101
2.132,14:52:31.132,-9.922852,0.166016,0.033203,-0.013672,0.010498,-0.029785,0.,0.,0.,2.783203,-0.01001,0.044434,0.238281,102,45,52,101
2.232,14:52:31.232,-9.957031,0.051758,0.099609,-0.009521,0.014893,-0.026367,0.,0.,0.,2.783203,-0.009766,0.044434,0.238281,102,45,52,100
2.332,14:52:31.332,-9.870117,0.132812,0.046875,-0.012695,0.012695,-0.028564,0.,0.,0.,2.783203,-0.009766,0.044434,0.238281,102,45,52,100
2.432,14:52:31.432,-9.875,0.146484,0.023438,-0.011475,0.013672,-0.028564,0.,0.,0.,2.783203,-0.009766,0.044434,0.238281,102,45,52,100
