Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.899,14:55:6.899,-9.827148,0.,0.094727,-0.012695,0.013672,-0.025391,0.,0.,0.,2.917236,-0.00708,0.05127,0.242188,102,44,56,102
1.999,14:55:6.999,-9.770508,-0.018555,0.12793,-0.012695,0.012695,-0.025391,0.,0.,0.,2.916016,-0.006836,0.05127,0.242188,102,44,56,102
2.099,14:55:7.099,-9.770508,-0.018555,0.12793,-0.012695,0.012695,-0.025391,0.,0.,0.,2.916016,-0.006836,0.05127,0.242188,102,44,56,102
2.199,14:55:7.199,-9.884766,0.080078,0.123047,-0.012695,0.013672,-0.027588,0.,0.,0.,2.914795,-0.006836,0.05127,0.242188,103,44,56,102
2.299,14:55:7.299,-9.779297,0.056641,0.118164,-0.009521,0.013672,-0.025391,0.,0.,0.,2.912598,-0.006836,0.051514,0.242188,103,44,56,102
2.399,14:55:7.399,-9.78418,0.075195,0.084961,-0.012695,0.010498,-0.025391,0.,0.,0.,2.911377,-0.006836,0.051514,0.242188,103,44,56,102
2.499,14:55:7.499,-9.736328,0.,-0.008789,-0.012695,0.013672,-0.029785,0.,0.,0.,2.9104,-0.006836,0.051514,0.242188,104,44,56,178
2.599,14:55:7.599,-9.736328,0.,-0.008789,-0.012695,0.013672,-0.029785,0.,0.,0.,2.9104,-0.006836,0.051514,0.242188,104,44,56,178
2.699,14:55:7.699,-9.736328,0.,-0.008789,-0.012695,0.013672,-0.029785,0.,0.,0.,2.9104,-0.006836,0.051514,0.242188,104,44,56,178
2.799,14:55:7.799,-9.770508,0.056641,0.023438,-0.010498,0.012695,-0.028564,0.,0.,0.,2.905029,-0.006592,0.051514,0.242188,104,44,56,293
2.899,14:55:7.899,-9.770508,0.056641,0.023438,-0.010498,0.012695,-0.028564,0.,0.,0.,2.905029,-0.006592,0.051514,0.242188,104,44,56,293
2.999,14:55:7.999,-9.818359,0.142578,0.013672,-0.012695,0.013672,-0.027588,0.,0.,0.,2.904053,-0.006592,0.051514,0.242188,104,44,56,293
3.099,14:55:8.099,-9.818359,0.142578,0.013672,-0.012695,0.013672,-0.027588,0.,0.,0.,2.904053,-0.006592,0.051514,0.242188,104,44,56,293
3.199,14:55:8.199,-9.841797,0.02832,0.041992,-0.010498,0.013672,-0.026367,0.,0.,0.,2.903076,-0.006592,0.051514,0.242188,103,44,56,293
3.299,14:55:8.299,-9.841797,0.02832,0.041992,-0.010498,0.013672,-0.026367,0.,0.,0.,2.903076,-0.006592,0.051514,0.242188,103,44,56,293
3.399,14:55:8.399,-9.879883,0.089844,0.070312,-0.011475,0.011475,-0.023193,0.,0.,0.,2.897705,-0.006348,0.051514,0.242188,103,44,56,293
3.499,14:55:8.499,-9.879883,0.089844,0.070312,-0.011475,0.011475,-0.023193,0.,0.,0.,2.897705,-0.006348,0.051514,0.242188,103,44,56,293
3.599,14:55:8.599,-9.779297,0.066406,0.023438,-0.011475,0.014893,-0.025391,0.,0.,0.,2.896729,-0.006348,0.051758,0.242188,102,44,56,293
3.699,14:55:8.699,-9.779297,0.066406,0.023438,-0.011475,0.014893,-0.025391,0.,0.,0.,2.896729,-0.006348,0.051758,0.242188,102,44,56,293
3.799,14:55:8.799,-9.851562,0.123047,0.118164,-0.013672,0.011475,-0.027588,0.,0.,0.,2.895752,-0.006348,0.051758,0.242188,102,44,56,293
3.899,14:55:8.899,-9.851562,0.123047,0.118164,-0.013672,0.011475,-0.027588,0.,0.,0.,2.895752,-0.006348,0.051758,0.242188,102,44,56,293
3.999,14:55:8.999,-9.875,0.056641,0.066406,-0.013672,0.015869,-0.026367,0.,0.,0.,2.892578,-0.006348,0.051758,0.242188,101,44,56,293
4.099,14:55:9.099,-9.836914,0.089844,0.089844,-0.011475,0.014893,-0.026367,0.,0.,0.,2.891602,-0.006348,0.051758,0.242188,101,44,56,293
4.199,14:55:9.199,-9.793945,0.056641,0.023438,-0.011475,0.014893,-0.026367,0.,0.,0.,2.886719,-0.006104,0.051758,0.242188,101,44,56,292
4.299,14:55:9.299,-9.793945,0.056641,0.023438,-0.011475,0.014893,-0.026367,0.,0.,0.,2.886719,-0.006104,0.051758,0.242188,101,44,56,292
4.399,14:55:9.399,-9.985352,0.084961,0.056641,-0.010498,0.012695,-0.026367,0.,0.,0.,2.885986,-0.006104,0.051758,0.242188,101,44,56,292
4.499,14:55:9.499,-9.985352,0.084961,0.056641,-0.010498,0.012695,-0.026367,0.,0.,0.,2.885986,-0.006104,0.051758,0.242188,101,44,56,292
4.599,14:55:9.599,-9.750977,0.02832,0.080078,-0.011475,0.011475,-0.028564,0.,0.,0.,2.881104,-0.005859,0.051758,0.242188,101,44,56,292
