Time,UTC,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
2.502,14:22:50.502,193,135,147,183
2.602,14:22:50.602,193,135,147,183
2.702,14:22:50.702,193,134,149,183
2.802,14:22:50.802,193,134,149,183
2.902,14:22:50.902,193,134,149,183
3.002,14:22:51.002,193,134,149,183
3.102,14:22:51.102,193,134,150,183
3.202,14:22:51.202,193,135,149,183
3.302,14:22:51.302,193,134,149,183
3.402,14:22:51.402,193,134,148,183
3.502,14:22:51.502,193,134,147,183
3.602,14:22:51.602,193,134,146,183
3.702,14:22:51.702,193,134,146,183
3.802,14:22:51.802,193,134,146,183
3.902,14:22:51.902,193,134,146,183
4.002,14:22:52.002,193,134,146,183
4.102,14:22:52.102,193,135,146,183
4.202,14:22:52.202,193,136,146,183
4.302,14:22:52.302,193,135,146,183
4.402,14:22:52.402,193,135,146,183
4.502,14:22:52.502,193,133,146,183
4.602,14:22:52.602,193,133,146,183
4.702,14:22:52.702,193,133,146,183
4.802,14:22:52.802,193,133,146,183
4.902,14:22:52.902,193,133,146,183
5.002,14:22:53.002,193,133,146,183
5.102,14:22:53.102,194,133,146,183
5.202,14:22:53.202,194,133,146,183
5.302,14:22:53.302,194,133,147,183
5.402,14:22:53.402,194,133,147,183
5.502,14:22:53.502,194,133,148,183
5.602,14:22:53.602,194,133,148,183
5.702,14:22:53.702,194,133,148,183
5.802,14:22:53.802,194,133,148,183
5.902,14:22:53.902,194,133,147,183
6.002,14:22:54.002,194,133,147,183
6.102,14:22:54.102,194,133,147,183
6.202,14:22:54.202,194,133,147,183
6.302,14:22:54.302,195,133,146,183
6.402,14:22:54.402,195,133,146,183
6.502,14:22:54.502,195,133,146,183
6.602,14:22:54.602,195,134,146,183
6.702,14:22:54.702,195,134,146,183
6.802,14:22:54.802,194,135,146,183
6.902,14:22:54.902,194,135,146,183
7.002,14:22:55.002,193,134,146,183
7.102,14:22:55.102,193,134,146,183
7.202,14:22:55.202,193,134,146,183
7.302,14:22:55.302,193,134,146,183
7.402,14:22:55.402,193,134,146,183
7.502,14:22:55.502,193,134,146,183
7.602,14:22:55.602,193,134,146,183
7.702,14:22:55.702,193,134,146,183
7.802,14:22:55.802,193,134,146,183
7.902,14:22:55.902,193,134,146,183
8.002,14:22:56.002,193,134,146,183
8.102,14:22:56.102,193,134,146,183
8.202,14:22:56.202,193,134,147,183
8.302,14:22:56.302,193,134,147,183
8.402,14:22:56.402,193,134,148,183
8.502,14:22:56.502,194,134,147,183
8.602,14:22:56.602,194,134,147,183
8.702,14:22:56.702,194,134,146,183
8.802,14:22:56.802,194,134,146,183
8.902,14:22:56.902,194,134,146,183
9.002,14:22:57.002,194,134,146,183
9.102,14:22:57.102,194,134,146,183
9.202,14:22:57.202,194,135,146,183
9.302,14:22:57.302,194,136,146,183
9.402,14:22:57.402,194,134,146,183
9.502,14:22:57.502,193,134,146,183
9.602,14:22:57.602,193,133,146,183
9.702,14:22:57.702,193,133,146,183
9.802,14:22:57.802,193,133,146,183
9.902,14:22:57.902,193,133,146,183
10.002,14:22:58.002,193,133,146,183
10.102,14:22:58.102,193,133,146,183
10.202,14:22:58.202,193,133,146,183
10.302,14:22:58.302,193,133,146,183
10.402,14:22:58.402,193,133,146,183
10.502,14:22:58.502,193,133,146,183
10.602,14:22:58.602,193,133,146,183
10.702,14:22:58.702,193,133,146,183
10.802,14:22:58.802,193,133,146,183
10.902,14:22:58.902,193,134,146,183
11.002,14:22:59.002,193,134,146,183
11.102,14:22:59.102,193,134,146,183
11.202,14:22:59.202,194,134,146,183
11.302,14:22:59.302,194,134,146,183
11.402,14:22:59.402,194,134,146,183
11.502,14:22:59.502,194,134,147,183
11.602,14:22:59.602,194,134,148,183
11.702,14:22:59.702,194,134,148,183
11.802,14:22:59.802,194,134,147,183
11.902,14:22:59.902,193,135,147,183
12.002,14:23:0.002,193,135,147,183
12.102,14:23:0.102,193,135,147,183
12.202,14:23:0.202,193,135,147,183
12.302,14:23:0.302,193,135,147,183
12.402,14:23:0.402,193,135,147,183
12.502,14:23:0.502,193,134,147,183
12.602,14:23:0.602,193,134,147,183
12.702,14:23:0.702,193,134,147,183
12.802,14:23:0.802,193,134,147,183
12.902,14:23:0.902,193,134,147,183
13.002,14:23:1.002,193,134,147,183
13.102,14:23:1.102,193,134,147,183
13.202,14:23:1.202,193,134,147,183
13.302,14:23:1.302,193,134,147,183
13.402,14:23:1.402,192,134,146,183
13.502,14:23:1.502,192,134,146,184
13.602,14:23:1.602,192,135,146,184
13.702,14:23:1.702,192,135,146,184
13.802,14:23:1.802,192,136,146,184
13.902,14:23:1.902,192,135,146,184
14.002,14:23:2.002,192,134,146,184
14.102,14:23:2.102,192,134,146,185
14.202,14:23:2.202,192,134,146,185
14.302,14:23:2.302,192,134,146,184
14.402,14:23:2.402,192,135,146,184
14.502,14:23:2.502,193,135,146,184
14.602,14:23:2.602,194,135,145,184
14.702,14:23:2.702,194,136,145,184
14.802,14:23:2.802,194,137,144,184
14.902,14:23:2.902,194,137,144,184
15.002,14:23:3.002,194,138,144,185
15.102,14:23:3.102,195,140,144,185
15.202,14:23:3.202,195,142,144,186
15.302,14:23:3.302,196,142,144,186
15.402,14:23:3.402,183,142,144,188
15.502,14:23:3.502,164,142,145,183
15.602,14:23:3.602,164,143,146,176
15.702,14:23:3.702,164,143,146,176
15.802,14:23:3.802,163,145,147,168
15.902,14:23:3.902,163,145,147,168
16.002,14:23:4.002,160,148,147,158
16.102,14:23:4.102,156,157,147,157
16.202,14:23:4.202,155,159,148,156
16.302,14:23:4.302,155,159,148,156
16.402,14:23:4.402,155,159,148,156
16.502,14:23:4.502,155,159,148,156
16.602,14:23:4.602,155,160,148,157
16.702,14:23:4.702,155,160,148,157
16.802,14:23:4.802,155,161,148,158
16.902,14:23:4.902,156,162,148,158
17.002,14:23:5.002,154,166,150,157
17.102,14:23:5.102,154,167,157,157
17.202,14:23:5.202,154,167,160,156
17.302,14:23:5.302,153,168,161,156
