Time,UTC,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
1.957,14:42:2.957,188,136,142,190
2.057,14:42:3.057,188,136,143,189
2.157,14:42:3.157,187,136,143,189
2.257,14:42:3.257,187,136,143,189
2.357,14:42:3.357,187,136,143,189
2.457,14:42:3.457,187,136,144,189
2.557,14:42:3.557,187,136,144,189
2.657,14:42:3.657,187,136,144,190
2.757,14:42:3.757,187,136,144,190
2.857,14:42:3.857,187,136,144,190
2.957,14:42:3.957,187,136,144,190
3.057,14:42:4.057,187,136,144,190
3.157,14:42:4.157,187,136,142,190
3.257,14:42:4.257,187,136,142,190
3.357,14:42:4.357,188,136,142,189
3.457,14:42:4.457,188,136,142,189
3.557,14:42:4.557,188,136,142,189
3.657,14:42:4.657,188,136,142,189
3.757,14:42:4.757,188,137,142,189
3.857,14:42:4.857,188,137,142,189
3.957,14:42:4.957,187,137,142,189
4.057,14:42:5.057,187,136,142,189
4.157,14:42:5.157,187,136,142,189
4.257,14:42:5.257,187,136,142,189
4.357,14:42:5.357,187,136,142,189
4.457,14:42:5.457,187,136,143,189
4.557,14:42:5.557,187,136,142,189
4.657,14:42:5.657,187,136,142,189
4.757,14:42:5.757,187,136,142,190
4.857,14:42:5.857,187,136,142,190
4.957,14:42:5.957,187,136,142,190
5.057,14:42:6.057,187,136,142,190
5.157,14:42:6.157,186,136,142,190
5.257,14:42:6.257,186,136,142,190
5.357,14:42:6.357,186,136,142,190
5.457,14:42:6.457,186,136,142,190
5.557,14:42:6.557,186,136,142,190
5.657,14:42:6.657,186,137,142,190
5.757,14:42:6.757,186,137,142,190
5.857,14:42:6.857,186,137,142,190
5.957,14:42:6.957,186,137,142,190
6.057,14:42:7.057,187,137,142,190
6.157,14:42:7.157,187,137,142,190
6.257,14:42:7.257,187,137,142,190
6.357,14:42:7.357,187,137,142,190
6.457,14:42:7.457,187,137,142,190
6.557,14:42:7.557,187,137,142,190
6.657,14:42:7.657,187,137,142,190
6.757,14:42:7.757,187,137,142,190
6.857,14:42:7.857,188,137,142,190
6.957,14:42:7.957,188,137,142,190
7.057,14:42:8.057,188,137,142,190
7.157,14:42:8.157,188,137,142,190
7.257,14:42:8.257,188,137,142,190
7.357,14:42:8.357,188,137,143,190
7.457,14:42:8.457,188,137,143,190
7.557,14:42:8.557,188,137,143,190
7.657,14:42:8.657,188,137,143,190
7.757,14:42:8.757,188,137,143,190
7.857,14:42:8.857,187,137,143,190
7.957,14:42:8.957,187,137,143,190
8.057,14:42:9.057,187,138,142,190
8.157,14:42:9.157,187,137,142,189
8.257,14:42:9.257,187,137,142,189
8.357,14:42:9.357,187,137,143,189
8.457,14:42:9.457,187,137,143,189
8.557,14:42:9.557,187,137,143,189
8.657,14:42:9.657,187,137,143,189
8.757,14:42:9.757,187,137,143,189
8.857,14:42:9.857,187,137,142,189
8.957,14:42:9.957,188,137,142,189
9.057,14:42:10.057,188,137,142,189
9.157,14:42:10.157,188,137,143,189
9.257,14:42:10.257,187,137,143,189
9.357,14:42:10.357,187,137,143,189
9.457,14:42:10.457,187,137,142,189
9.557,14:42:10.557,187,137,142,189
9.657,14:42:10.657,187,137,142,189
9.757,14:42:10.757,187,137,142,189
9.857,14:42:10.857,187,137,142,189
9.957,14:42:10.957,187,137,142,189
10.057,14:42:11.057,187,137,142,190
10.157,14:42:11.157,187,137,142,189
10.257,14:42:11.257,187,137,142,189
10.357,14:42:11.357,187,137,142,189
10.457,14:42:11.457,187,137,142,189
10.557,14:42:11.557,187,137,142,189
10.657,14:42:11.657,187,137,142,189
10.757,14:42:11.757,187,137,142,189
10.857,14:42:11.857,187,137,142,189
10.957,14:42:11.957,187,137,142,189
11.057,14:42:12.057,187,137,142,189
11.157,14:42:12.157,187,137,142,189
11.257,14:42:12.257,187,137,142,189
11.357,14:42:12.357,187,137,142,189
11.457,14:42:12.457,187,137,142,189
11.557,14:42:12.557,187,137,142,189
11.657,14:42:12.657,187,137,142,189
11.757,14:42:12.757,187,137,142,189
11.857,14:42:12.857,187,137,142,189
11.957,14:42:12.957,187,137,143,189
12.057,14:42:13.057,187,137,143,189
12.157,14:42:13.157,187,137,143,189
12.257,14:42:13.257,187,137,143,189
12.357,14:42:13.357,187,137,143,189
12.457,14:42:13.457,187,137,143,189
12.557,14:42:13.557,187,137,143,189
12.657,14:42:13.657,187,137,143,189
12.757,14:42:13.757,187,137,143,189
12.857,14:42:13.857,187,137,143,189
12.957,14:42:13.957,187,137,143,189
13.057,14:42:14.057,187,137,144,189
13.157,14:42:14.157,187,137,143,189
13.257,14:42:14.257,187,137,143,189
13.357,14:42:14.357,187,137,143,189
13.457,14:42:14.457,187,137,143,189
13.557,14:42:14.557,187,137,143,189
13.657,14:42:14.657,187,137,143,190
13.757,14:42:14.757,187,137,142,190
13.857,14:42:14.857,187,137,142,189
13.957,14:42:14.957,187,137,142,189
14.057,14:42:15.057,187,137,143,189
14.157,14:42:15.157,187,137,143,189
14.257,14:42:15.257,187,137,143,189
14.357,14:42:15.357,187,137,142,190
14.457,14:42:15.457,187,137,142,190
14.557,14:42:15.557,187,137,142,190
14.657,14:42:15.657,187,137,142,190
14.757,14:42:15.757,187,137,142,190
14.857,14:42:15.857,188,137,142,189
14.957,14:42:15.957,188,137,142,189
15.057,14:42:16.057,188,137,142,189
15.157,14:42:16.157,188,137,142,189
15.257,14:42:16.257,188,137,142,189
15.357,14:42:16.357,188,137,142,189
15.457,14:42:16.457,189,137,142,188
15.557,14:42:16.557,189,137,142,188
15.657,14:42:16.657,189,137,142,188
15.757,14:42:16.757,189,137,142,188
15.857,14:42:16.857,189,137,143,188
15.957,14:42:16.957,189,137,143,188
16.057,14:42:17.057,190,137,143,188
16.157,14:42:17.157,190,137,143,188
16.257,14:42:17.257,190,137,143,187
16.357,14:42:17.357,190,136,144,187
16.457,14:42:17.457,190,136,145,187
16.557,14:42:17.557,191,136,145,188
16.657,14:42:17.657,191,136,147,190
16.757,14:42:17.757,191,138,147,190
16.857,14:42:17.857,191,138,147,190
16.957,14:42:17.957,187,139,147,181
17.057,14:42:18.057,187,139,147,181
17.157,14:42:18.157,173,139,147,174
17.257,14:42:18.257,165,139,150,173
17.357,14:42:18.357,165,139,150,173
17.457,14:42:18.457,165,140,150,173
17.557,14:42:18.557,165,140,150,173
17.657,14:42:18.657,165,140,151,173
17.757,14:42:18.757,165,140,151,173
17.857,14:42:18.857,165,140,151,173
17.957,14:42:18.957,164,140,151,173
18.057,14:42:19.057,164,140,151,173
18.157,14:42:19.157,163,141,157,163
18.257,14:42:19.257,162,142,162,159
18.357,14:42:19.357,162,142,162,159
18.457,14:42:19.457,160,143,162,153
18.557,14:42:19.557,154,150,163,149
18.657,14:42:19.657,152,155,164,141
18.757,14:42:19.757,149,177,165,138
18.857,14:42:19.857,147,193,180,137
18.957,14:42:19.957,147,193,180,137
19.057,14:42:20.057,144,191,187,136
19.157,14:42:20.157,144,191,187,136
19.257,14:42:20.257,144,191,187,136
19.357,14:42:20.357,144,191,186,136
19.457,14:42:20.457,144,191,186,136
19.557,14:42:20.557,144,191,186,136
19.657,14:42:20.657,143,191,186,136
19.757,14:42:20.757,143,191,186,136
19.857,14:42:20.857,143,191,186,136
19.957,14:42:20.957,144,191,186,136
20.057,14:42:21.057,144,191,186,136
20.157,14:42:21.157,143,191,186,136
20.257,14:42:21.257,143,191,186,136
20.357,14:42:21.357,143,191,186,136
20.457,14:42:21.457,143,191,186,136
20.557,14:42:21.557,143,191,186,136
20.657,14:42:21.657,143,191,186,136
20.757,14:42:21.757,143,191,186,136
20.857,14:42:21.857,143,191,186,136
20.957,14:42:21.957,143,191,186,136
21.057,14:42:22.057,143,191,186,136
21.157,14:42:22.157,143,191,186,136
21.257,14:42:22.257,143,191,186,136
21.357,14:42:22.357,143,191,186,136
21.457,14:42:22.457,143,191,186,136
21.557,14:42:22.557,143,191,186,136
