Time,UTC,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
2.600,15:04:12.600,0.242188,102,143,137,184
2.700,15:04:12.700,0.242188,102,143,139,184
2.800,15:04:12.800,0.242188,102,143,138,184
2.900,15:04:12.900,0.242188,102,142,138,184
3.000,15:04:13.000,0.242188,102,142,137,184
3.100,15:04:13.100,0.242188,102,142,137,184
3.200,15:04:13.200,0.242188,102,142,137,184
3.300,15:04:13.300,0.242188,102,142,137,184
3.400,15:04:13.400,0.242188,102,142,137,184
3.500,15:04:13.500,0.242188,103,142,137,184
3.600,15:04:13.600,0.242188,102,142,137,184
3.700,15:04:13.700,0.242188,102,142,137,184
3.800,15:04:13.800,0.242188,102,142,137,184
3.900,15:04:13.900,0.242188,102,142,137,184
4.000,15:04:14.000,0.242188,102,145,137,184
4.100,15:04:14.100,0.242188,102,145,137,184
4.200,15:04:14.200,0.242188,102,144,137,184
4.300,15:04:14.300,0.242188,102,144,137,184
4.400,15:04:14.400,0.242188,102,143,137,184
4.500,15:04:14.500,0.242188,102,143,137,184
4.600,15:04:14.600,0.242188,102,143,137,184
4.700,15:04:14.700,0.242188,102,143,137,184
4.800,15:04:14.800,0.242188,102,143,137,184
4.900,15:04:14.900,0.242188,102,143,137,184
5.000,15:04:15.000,0.242188,102,143,137,184
5.100,15:04:15.100,0.242188,102,143,137,184
5.200,15:04:15.200,0.242188,102,143,138,184
5.300,15:04:15.300,0.242188,102,143,138,184
5.400,15:04:15.400,0.242188,102,143,139,184
5.500,15:04:15.500,0.242188,102,143,138,184
5.600,15:04:15.600,0.242188,102,143,138,184
5.700,15:04:15.700,0.242188,102,143,138,184
5.800,15:04:15.800,0.242188,102,143,138,184
5.900,15:04:15.900,0.242188,102,143,137,184
6.000,15:04:16.000,0.242188,102,143,137,184
6.100,15:04:16.100,0.242188,102,143,137,184
6.200,15:04:16.200,0.242188,102,143,137,184
6.300,15:04:16.300,0.242188,102,144,137,184
6.400,15:04:16.400,0.242188,102,144,137,184
6.500,15:04:16.500,0.242188,102,144,137,184
6.600,15:04:16.600,0.242188,102,144,137,184
6.700,15:04:16.700,0.242188,102,144,137,184
6.800,15:04:16.800,0.242188,102,144,138,184
