Time,UTC,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
3.346,15:18:9.346,0.242188,96,134,144,92
3.446,15:18:9.446,0.238281,96,134,144,92
3.546,15:18:9.546,0.242188,95,135,144,92
3.646,15:18:9.646,0.242188,95,135,144,92
3.746,15:18:9.746,0.242188,95,135,144,92
3.846,15:18:9.846,0.238281,94,135,144,92
3.946,15:18:9.946,0.238281,94,135,144,92
4.046,15:18:10.046,0.242188,94,135,144,92
4.146,15:18:10.146,0.238281,94,134,143,92
4.246,15:18:10.246,0.238281,94,133,143,92
4.346,15:18:10.346,0.238281,94,133,143,92
4.446,15:18:10.446,0.242188,94,133,143,92
4.546,15:18:10.546,0.242188,94,133,143,92
4.646,15:18:10.646,0.238281,94,134,143,92
4.746,15:18:10.746,0.238281,94,134,143,92
4.846,15:18:10.846,0.238281,95,134,143,92
4.946,15:18:10.946,0.238281,95,134,143,92
5.046,15:18:11.046,0.242188,95,134,143,92
5.146,15:18:11.146,0.242188,95,134,143,92
5.246,15:18:11.246,0.242188,95,134,143,92
5.346,15:18:11.346,0.238281,95,134,142,92
5.446,15:18:11.446,0.242188,95,134,142,92
5.546,15:18:11.546,0.238281,95,134,142,92
5.646,15:18:11.646,0.238281,95,134,143,92
5.746,15:18:11.746,0.238281,95,134,142,92
5.846,15:18:11.846,0.238281,95,134,142,92
5.946,15:18:11.946,0.238281,96,134,142,92
6.046,15:18:12.046,0.238281,96,134,142,92
6.146,15:18:12.146,0.238281,96,137,142,92
6.246,15:18:12.246,0.238281,96,137,142,92
6.346,15:18:12.346,0.242188,96,137,142,92
6.446,15:18:12.446,0.238281,96,136,142,92
6.546,15:18:12.546,0.238281,96,136,142,92
6.646,15:18:12.646,0.242188,97,133,142,92
6.746,15:18:12.746,0.242188,97,133,142,92
6.846,15:18:12.846,0.242188,97,133,142,92
6.946,15:18:12.946,0.238281,95,135,142,92
7.046,15:18:13.046,0.238281,95,135,142,92
7.146,15:18:13.146,0.238281,95,138,142,92
7.246,15:18:13.246,0.238281,95,138,142,92
7.346,15:18:13.346,0.238281,95,138,142,92
7.446,15:18:13.446,0.238281,95,138,142,92
7.546,15:18:13.546,0.242188,95,138,143,92
7.646,15:18:13.646,0.238281,95,136,143,92
7.746,15:18:13.746,0.238281,95,136,143,92
7.846,15:18:13.846,0.242188,95,137,143,92
7.946,15:18:13.946,0.238281,95,138,143,92
8.046,15:18:14.046,0.238281,95,138,143,92
8.146,15:18:14.146,0.238281,95,140,143,92
8.246,15:18:14.246,0.238281,95,140,143,92
8.346,15:18:14.346,0.238281,95,137,143,92
8.446,15:18:14.446,0.242188,96,138,143,92
8.546,15:18:14.546,0.238281,96,140,143,92
8.646,15:18:14.646,0.238281,96,140,143,92
8.746,15:18:14.746,0.238281,97,138,143,92
8.846,15:18:14.846,0.238281,97,138,143,92
8.946,15:18:14.946,0.238281,96,138,143,92
9.046,15:18:15.046,0.238281,96,138,143,92
9.146,15:18:15.146,0.242188,96,138,143,92
9.246,15:18:15.246,0.242188,96,138,143,92
9.346,15:18:15.346,0.242188,96,138,143,92
9.446,15:18:15.446,0.242188,96,138,143,92
9.546,15:18:15.546,0.242188,96,138,143,92
9.646,15:18:15.646,0.242188,96,138,143,92
9.746,15:18:15.746,0.238281,96,138,143,92
9.846,15:18:15.846,0.238281,96,137,143,92
9.946,15:18:15.946,0.238281,96,137,143,92
10.046,15:18:16.046,0.238281,96,134,143,92
10.146,15:18:16.146,0.238281,97,132,143,92
10.246,15:18:16.246,0.238281,96,133,143,92
10.346,15:18:16.346,0.238281,96,133,143,92
10.446,15:18:16.446,0.238281,95,139,143,92
10.546,15:18:16.546,0.238281,95,139,143,92
10.646,15:18:16.646,0.238281,95,137,143,92
10.746,15:18:16.746,0.238281,95,134,143,92
10.846,15:18:16.846,0.242188,95,134,143,92
10.946,15:18:16.946,0.242188,95,137,143,92
11.046,15:18:17.046,0.242188,95,137,143,92
