Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
209.974	15:54:45.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
210.224	15:54:46.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
210.474	15:54:46.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
210.724	15:54:46.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
210.974	15:54:46.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
211.224	15:54:47.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
211.474	15:54:47.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
211.724	15:54:47.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
211.974	15:54:47.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
212.224	15:54:48.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
212.474	15:54:48.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
212.724	15:54:48.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
212.974	15:54:48.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
213.224	15:54:49.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
213.474	15:54:49.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
213.724	15:54:49.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
213.974	15:54:49.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
214.224	15:54:50.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
214.474	15:54:50.359	43.462229950	1.272889989	0.32	0.32	125	0.222656
214.724	15:54:50.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
214.974	15:54:50.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
215.224	15:54:51.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
215.474	15:54:51.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
215.724	15:54:51.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
215.974	15:54:51.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
216.224	15:54:52.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
216.474	15:54:52.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
216.724	15:54:52.609	43.462229950	1.272889989	0.32	0.32	125	0.222656
216.974	15:54:52.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
217.224	15:54:53.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
217.474	15:54:53.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
217.724	15:54:53.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
217.974	15:54:53.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
218.224	15:54:54.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
218.474	15:54:54.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
218.724	15:54:54.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
218.974	15:54:54.859	43.462229950	1.272889989	0.32	0.32	125	0.222656
219.224	15:54:55.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
219.474	15:54:55.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
219.724	15:54:55.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
219.974	15:54:55.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
220.224	15:54:56.109	43.462229950	1.272889989	0.32	0.32	125	0.222656
220.474	15:54:56.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
220.724	15:54:56.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
220.974	15:54:56.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
221.224	15:54:57.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
221.474	15:54:57.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
221.724	15:54:57.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
221.974	15:54:57.859	43.462229950	1.272889989	0.32	0.32	125	0.222656
222.224	15:54:58.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
222.474	15:54:58.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
222.724	15:54:58.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
222.974	15:54:58.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
223.224	15:54:59.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
223.474	15:54:59.359	43.462229950	1.272889989	0.32	0.32	125	0.222656
223.724	15:54:59.609	43.462229950	1.272889989	0.32	0.32	125	0.222656
223.974	15:54:59.859	43.462229950	1.272889989	0.32	0.32	125	0.222656
224.224	15:55:0.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
224.474	15:55:0.359	43.462229950	1.272889989	0.32	0.32	125	0.226562
224.724	15:55:0.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
224.974	15:55:0.859	43.462229950	1.272889989	0.32	0.32	125	0.226562
225.224	15:55:1.109	43.462229950	1.272889989	0.32	0.32	125	0.226562
225.474	15:55:1.359	43.462229950	1.272889989	0.32	0.32	125	0.222656
225.724	15:55:1.609	43.462229950	1.272889989	0.32	0.32	125	0.226562
