Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
11.389	15:56:28.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
11.639	15:56:28.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
11.889	15:56:29.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
12.139	15:56:29.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
12.389	15:56:29.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
12.639	15:56:29.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
12.889	15:56:30.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
13.139	15:56:30.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
13.389	15:56:30.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
13.639	15:56:30.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
13.889	15:56:31.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
14.139	15:56:31.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
14.389	15:56:31.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
14.639	15:56:31.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
14.889	15:56:32.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
15.139	15:56:32.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
15.389	15:56:32.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
15.639	15:56:32.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
15.889	15:56:33.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
16.139	15:56:33.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
16.389	15:56:33.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
16.639	15:56:33.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
16.889	15:56:34.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
17.139	15:56:34.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
17.389	15:56:34.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
17.639	15:56:34.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
17.889	15:56:35.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
18.139	15:56:35.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
18.389	15:56:35.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
18.639	15:56:35.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
18.889	15:56:36.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
19.139	15:56:36.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
19.389	15:56:36.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
19.639	15:56:36.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
19.889	15:56:37.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
20.139	15:56:37.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
20.389	15:56:37.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
20.639	15:56:37.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
20.889	15:56:38.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
21.139	15:56:38.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
21.389	15:56:38.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
21.639	15:56:38.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
21.889	15:56:39.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
22.139	15:56:39.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
22.389	15:56:39.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
22.639	15:56:39.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
22.889	15:56:40.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
23.139	15:56:40.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
23.389	15:56:40.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
23.639	15:56:40.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
23.889	15:56:41.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
24.139	15:56:41.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
24.389	15:56:41.637	43.462229950	1.272889989	0.32	0.32	124	0.242188
24.639	15:56:41.887	43.462229950	1.272889989	0.32	0.32	124	0.242188
24.889	15:56:42.137	43.462229950	1.272889989	0.32	0.32	124	0.242188
25.139	15:56:42.387	43.462229950	1.272889989	0.32	0.32	124	0.242188
25.389	15:56:42.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
25.639	15:56:42.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
25.889	15:56:43.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
26.139	15:56:43.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
26.389	15:56:43.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
26.639	15:56:43.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
26.889	15:56:44.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
27.139	15:56:44.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
27.389	15:56:44.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
27.639	15:56:44.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
27.889	15:56:45.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
28.139	15:56:45.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
28.389	15:56:45.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
28.639	15:56:45.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
28.889	15:56:46.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
29.139	15:56:46.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
29.389	15:56:46.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
29.639	15:56:46.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
29.889	15:56:47.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
30.139	15:56:47.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
30.389	15:56:47.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
30.639	15:56:47.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
30.889	15:56:48.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
31.139	15:56:48.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
31.389	15:56:48.637	43.462229950	1.272889989	0.32	0.32	123	0.242188
31.639	15:56:48.887	43.462229950	1.272889989	0.32	0.32	123	0.242188
31.889	15:56:49.137	43.462229950	1.272889989	0.32	0.32	123	0.242188
32.139	15:56:49.387	43.462229950	1.272889989	0.32	0.32	123	0.242188
